,0
0,3i Infotech
1,ABG Group
2,Accenture
3,Accrete consulting Engineers
4,Adepto Geoinfomatics
5,ADP Technology
6,Amazon
7,AMDOCS
8,ARAKYA
9,Argusoft India Ltd.
10,ARICENT
11,Ashiana Housing
12,Asahi India
13,Bergen Solar Power & Energy
14,Bhushan Steel
15,Capgemini
16,CINDA Engineering
17,Cavisson Systems
18,Cognizant
19,Cignex Datamatics
20,Cybage Software
21,Deloitte
22,Discoverture Solutions
23,"EAM Division,KIIT"
24,Elitists
25,ENERCON
26,ENZEN Global Solution
27,ERA Group
28,ERICSSON
29,Everest Industries
30,Flipkart
31,Future Generali
32,Focus Academy
33,GENPACT
34,Gyansys Infotech
35,HCL Infosystem
36,HP India
37,IBM India
38,Infosys
39,I-Design
40,INCEPT Techonology
41,Indian Seamless Metal Tubes
42,Infotech Enterprises Ltd.
43,Intel India
44,ITW SIGNODE
45,J Kumar Infrastructure
46,Jindal Steel Power Limited
47,Josh Technology
48,KIMS
49,Kinam Rice & Allied Products
50,KURLON
51,L&T ECC
52,LnT Infotech
53,Mahindra Comviva
54,Microsoft
55,MRF Tyre
56,MU-SIGMA
57,NTT Data
58,Oracle India(P) Ltd.
59,Posco Maharastra Steel Pvt. Ltd.
60,Paharpur Business Center
61,QED Enabled Solutions
62,Ram Krishna Forging Ltd.
63,R Systems
64,Robert Bosch
65,SAG Infotech
66,Sankalp Semi Conductor
67,SAP
68,SEW Infrastructure
69,Shapoorji & Pallonji
70,Shriram Transport Finance Ltd.
71,Shyam Indus Power
72,Siemens Information Systems Ltd.
73,SM Consultants
74,Sterling & Willson
75,Tata Power
76,Tata Steel
77,TCS
78,Temba Shipyard
79,Tech Mahindra
80,TEGA Industries
81,Tractors India Ltd.
82,Tricon Infotech
83,Triveni Turbine
84,Unisys Global Services
85,UST Global
86,Vedanta
87,Vegayan System
88,Voltas  Ltd.
89,VYOM Labs
90,Wipro
91,XL Dynamics
92,Zeta Interactive
93,Zentron Labs
94,Zycus
95,FCS
96,AKS SoftwareLimite
97,inautix
98,Fiat
99,AK Software
100,Fiat India Automobile
101,Inoutix
102,Lowe Lintas
103,Rank Watch
